# Artificial Star Test Results
# Fitted Completeness Model: Error Function
# m50 = 16.3315 mag
# sigma_comp = 1.4916 mag
#
# Magnitude  N_added  N_recovered  Completeness  Error
    14.000      100           99        0.9900   0.0099
    14.500      100          100        1.0000   0.0000
    15.000      100           97        0.9700   0.0171
    15.500      100           92        0.9200   0.0271
    16.000      100           57        0.5700   0.0495
    16.500      100           22        0.2200   0.0414
    17.000      100            8        0.0800   0.0271
    17.500      100            3        0.0300   0.0171
    18.000      100            3        0.0300   0.0171
    18.500      100            3        0.0300   0.0171
    19.000      100            3        0.0300   0.0171
    19.500      100            1        0.0100   0.0099
    20.000      100            2        0.0200   0.0140
    20.500      100            3        0.0300   0.0171
    21.000      100            2        0.0200   0.0140
    21.500      100            4        0.0400   0.0196
    22.000      100            1        0.0100   0.0099
    22.500      100            3        0.0300   0.0171
