Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag umag gmag rmag imag zmag
0.000100 -2.191740 10.113940 0.100000 1.171106 0.100000 -2.779000 3.558900 5.405000 1 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.744800 0.255100 0.000018 0.000005 0.000044  0.000100 11.718000 32.307829 29.310669 27.638589 26.964629 26.567249
0.000100 -2.191740 10.113940 0.109821 1.248275 0.109000 -2.631000 3.574200 5.356000 1 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.742900 0.257000 0.000018 0.000005 0.000044  0.000100 11.346000 31.437829 28.711669 27.184589 26.578629 26.223249
0.000100 -2.191740 10.113940 0.129464 1.378675 0.129000 -2.388000 3.596700 5.276000 1 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.739700 0.260200 0.000018 0.000005 0.000044  0.000100 10.740000 30.199829 27.808669 26.489589 25.956629 25.648249
0.000100 -2.191740 10.113940 0.149107 1.485596 0.149000 -2.224000 3.608000 5.219000 1 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.737700 0.262200 0.000018 0.000005 0.000044  0.000100 10.331000 29.510829 27.266669 26.040589 25.539629 25.251249
0.000100 -2.191740 10.113940 0.168750 1.575614 0.168000 -2.098000 3.615300 5.174000 1 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.736900 0.263000 0.000018 0.000005 0.000044  0.000100 10.014000 29.024829 26.869669 25.698589 25.217629 24.942249
0.000100 -2.191740 10.113940 0.208036 1.720450 0.207000 -1.894000 3.626200 5.106000 1 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.736600 0.263300 0.000018 0.000005 0.000044  0.000100 9.506000 28.275829 26.246669 25.154589 24.701629 24.444249
0.000100 -2.191740 10.113940 0.257143 1.858127 0.257000 -1.707000 3.636300 5.051000 1 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.736900 0.263000 0.000018 0.000005 0.000044  0.000100 9.038000 27.597829 25.680669 24.653589 24.225629 23.985249
0.000100 -2.191740 10.113940 0.306250 1.965264 0.306000 -1.562000 3.644700 5.016000 1 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.736800 0.263100 0.000018 0.000005 0.000044  0.000100 8.675000 27.068829 25.241669 24.264589 23.856629 23.630249
0.000100 -2.191740 10.113940 0.355357 2.052111 0.355000 -1.440000 3.652600 4.990000 1 0.000000 0.544000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.737800 0.262100 0.000018 0.000005 0.000044  0.000100 8.369000 26.611829 24.867669 23.934589 23.543629 23.330249
0.000100 -2.191740 10.113940 0.404464 2.124609 0.404000 -1.317000 3.661100 4.958000 1 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.750000 0.249900 0.000018 0.000005 0.000044  0.000100 8.062000 26.148829 24.493669 23.605589 23.232629 23.032249
