# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Sat Nov 15 21:20:15 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.011816 -0.10000 8.17609 0.0900000036 1.0816895926    0.090 -2.871  3.4088  4.851    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 11.948 21.639 17.472 15.864 13.391 11.945
0.011816 -0.10000 8.17609 0.0952146575 1.1298419848    0.095 -2.826  3.4156  4.857    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 11.834 21.517 17.350 15.740 13.271 11.828
0.011816 -0.10000 8.17609 0.0999999940 1.1711063499    0.100 -2.784  3.4223  4.863    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 11.730 21.173 17.089 15.487 13.083 11.694
0.011816 -0.10000 8.17609 0.1094571054 1.2455753000    0.109 -2.717  3.4310  4.870    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.71e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 11.563 20.539 16.622 15.037 12.757 11.468
0.011816 -0.10000 8.17609 0.1200000048 1.3193154741    0.120 -2.645  3.4411  4.878    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 11.382 19.904 16.136 14.582 12.424 11.229
0.011816 -0.10000 8.17609 0.1217272282 1.3305935505    0.122 -2.635  3.4423  4.879    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 11.357 19.826 16.075 14.524 12.381 11.197
0.011816 -0.10000 8.17609 0.1399999857 1.4384525915    0.140 -2.532  3.4547  4.887    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.6e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 11.100 19.032 15.454 13.925 11.950 10.875
0.011816 -0.10000 8.17609 0.1544456482 1.5115245978    0.154 -2.462  3.4630  4.893    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -4e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 10.925 18.516 15.045 13.524 11.667 10.661
0.011816 -0.10000 8.17609 0.1599999964 1.5372931554    0.160 -2.436  3.4661  4.894    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.16e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 10.859 18.334 14.900 13.383 11.566 10.582
0.011816 -0.10000 8.17609 0.1876774579 1.6503172497    0.188 -2.323  3.4782  4.899    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.96e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 10.576 17.604 14.305 12.805 11.149 10.253
0.011816 -0.10000 8.17609 0.1999999881 1.6938790356    0.200 -2.275  3.4832  4.899    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.36e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 10.458 17.314 14.064 12.565 10.979 10.118
0.011816 -0.10000 8.17609 0.2500000000 1.8403257998    0.250 -2.117  3.4985  4.898    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.9e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 10.061 16.434 13.322 11.836 10.443 9.679
0.011816 -0.10000 8.17609 0.2844544351 1.9206897237    0.284 -2.022  3.5068  4.893    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.09e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 9.825 15.967 12.919 11.451 10.144 9.425
0.011816 -0.10000 8.17609 0.3000000119 1.9529139769    0.300 -1.982  3.5102  4.889    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.63e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 9.724 15.773 12.752 11.291 10.019 9.318
0.011816 -0.10000 8.17609 0.3069498241 1.9666259998    0.307 -1.962  3.5118  4.886    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.96e-16      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 9.675 15.683 12.673 11.215 9.959 9.266
0.011816 -0.10000 8.17609 0.3500000238 2.0434175133    0.350 -1.843  3.5211  4.862    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 9.378 15.156 12.208 10.769 9.602 8.955
0.011816 -0.10000 8.17609 0.4000000358 2.1185024810    0.400 -1.704  3.5331  4.829    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 9.031 14.559 11.669 10.254 9.189 8.596
0.011816 -0.10000 8.17609 0.4499999881 2.1822809009    0.450 -1.554  3.5477  4.788    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 8.656 13.931 11.087 9.697 8.744 8.212
0.011816 -0.10000 8.17609 0.5000000000 2.2374541529    0.500 -1.392  3.5663  4.747    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 8.251 13.264 10.443 9.074 8.260 7.805
0.011816 -0.10000 8.17609 0.5072467327 2.2448019455    0.507 -1.366  3.5706  4.744    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02 8.185 13.141 10.323 8.959 8.176 7.739
0.011816 -0.10000 8.17609 0.5423550010 2.2772259532    0.542 -1.262  3.5865  4.732    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.06e-15      0.00 7.182e-01 2.698e-01 2.154e-03 5.811e-04 5.270e-03 -1.000 1.198e-02 7.924 12.685 9.877 8.534 7.858 7.483
0.011816 -0.10000 8.17609 0.5499999523 2.2836582139    0.550 -1.249  3.5878  4.730    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.15e-15      0.00 7.183e-01 2.698e-01 2.153e-03 5.809e-04 5.269e-03 -1.000 1.196e-02 7.893 12.640 9.833 8.492 7.823 7.453
0.011816 -0.10000 8.17609 0.5562072992 2.2887316018    0.556 -1.234  3.5900  4.729    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.28e-15      0.00 7.183e-01 2.698e-01 2.153e-03 5.809e-04 5.269e-03 -1.000 1.195e-02 7.855 12.574 9.769 8.431 7.777 7.415
0.011816 -0.10000 8.17609 0.5906280279 2.3146531802    0.590 -1.143  3.6023  4.713    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-15      0.00 7.183e-01 2.698e-01 2.153e-03 5.808e-04 5.268e-03 -1.000 1.194e-02 7.627 12.214 9.413 8.105 7.516 7.195
0.011816 -0.10000 8.17609 0.6000000238 2.3211213258    0.600 -1.113  3.6066  4.708    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.55e-15      0.00 7.183e-01 2.698e-01 2.153e-03 5.808e-04 5.268e-03 -1.000 1.193e-02 7.554 12.094 9.294 7.999 7.433 7.124
0.011816 -0.10000 8.17609 0.6499999762 2.3520353107    0.650 -0.954  3.6338  4.692    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.83e-15      0.00 7.184e-01 2.697e-01 2.153e-03 5.807e-04 5.267e-03 -1.000 1.193e-02 7.155 11.364 8.597 7.407 6.973 6.743
